pMines1,p0,p1,i,j,deg,enh
0.00056374073,0.0016777217,0.99591297,DB00556,DB00115,2.304025275731895e-06,0.9953515332952757
0.0005412698,0.0016406178,0.9963534,DB00556,DB00130,1.97379445268003e-06,0.9958141039944526
0.00023812056,0.010330588,0.9940945,DB00697,DB00162,1.4062209670800017e-06,0.993857785660967
0.006165892,0.00039222836,0.9983604,DB01013,DB00162,1.0109596523199774e-05,0.9922046175965232
0.0012198687,1.92523e-05,0.9996372,DB01589,DB00162,4.425683643599957e-07,0.9984177738683644
0.0012753904,0.00040858984,0.99859154,DB00180,DB00163,1.7963363627839297e-06,0.9973179459363628
0.002822727,0.0027970374,0.9957366,DB00186,DB00163,1.203441429180008e-05,0.9929259074142918
0.0056550503,0.0007418096,0.9963349,DB00214,DB00163,2.0726324854529867e-05,0.9907005760248545
0.0075951517,0.0021683872,0.9982873,DB00216,DB00163,1.3008216316590088e-05,0.9907051565163165
0.0018986762,0.0010466278,0.9961629,DB00218,DB00163,7.285410447020071e-06,0.994271509210447
0.0014927089,0.0008637607,0.9988743,DB00230,DB00163,1.6803424087300108e-06,0.9973832714424088
0.00037562847,0.0011811852,0.9943422,DB00234,DB00163,2.125230757566017e-06,0.9939686967607576
0.00061261654,0.0002861023,0.991992,DB00241,DB00163,4.905833252320009e-06,0.9913842892932523
6.604195e-05,0.00037670135,0.9984158,DB00275,DB00163,1.0462365719000235e-07,0.9983498626736571
0.0002937913,0.00047507882,0.99847496,DB00292,DB00163,4.480434841519934e-07,0.9981816167434843
0.0037507713,0.00042554736,0.99681044,DB00310,DB00163,1.1963310107628135e-05,0.9930716320101076
0.0008890331,0.00088229775,0.9992212,DB00346,DB00163,6.923789782799719e-07,0.9983328592789783
0.0005649626,0.0030019283,0.9996191,DB00350,DB00163,2.151942543400098e-07,0.9990543525942542
0.0010801554,0.0010833144,0.9982108,DB00356,DB00163,1.93261404168005e-06,0.9971325772140417
6.6012144e-05,0.0021103024,0.994974,DB00366,DB00163,3.3177703574399834e-07,0.9949083196330357
0.006834388,0.00050625205,0.99827266,DB00368,DB00163,1.1805311767919769e-05,0.9914500773117679
0.00065380335,0.017270118,0.9936111,DB00377,DB00163,4.17708422281502e-06,0.9929614737342228
0.0050195754,0.00012245774,0.99944997,DB00381,DB00163,2.7609170572618954e-06,0.9944331555170574
0.00015550852,0.00023165345,0.99965703,DB00399,DB00163,5.3334757104408325e-08,0.999501574814757
5.337596e-05,1.1026859e-05,0.9994972,DB00401,DB00163,2.683743268800136e-08,0.9994438508774327
0.00019985437,0.00040382147,0.9987017,DB00402,DB00163,2.594709285709949e-07,0.9985021051009285
8.72612e-05,0.00086915493,0.999398,DB00408,DB00163,5.253124239999925e-08,0.9993107913312423
0.0001964271,0.00016188622,0.99735683,DB00413,DB00163,5.191902179070056e-07,0.9971609220902179
0.0019032359,0.0011371076,0.99928886,DB00421,DB00163,1.3534671779261038e-06,0.9973869775671779
3.939867e-05,5.8621168e-05,0.99722886,DB00423,DB00163,1.091792303838002e-07,0.9971895705092304
0.00024423003,0.0014618337,0.9911077,DB00433,DB00163,2.1717666957689912e-06,0.9908656417366959
0.0009723604,0.00027313828,0.9991672,DB00434,DB00163,8.097817411199678e-07,0.9981956493817411
0.0003232658,0.0111293495,0.99925035,DB00437,DB00163,2.423362069700149e-07,0.998927326536207
0.0041746497,0.00018569827,0.9995656,DB00439,DB00163,1.8134678296797742e-06,0.9953927637678297
6.094575e-05,1.9073486e-06,0.9993837,DB00450,DB00163,3.756086572500086e-08,0.9993227918108657
0.0015093684,0.00076305866,0.9983293,DB00454,DB00163,2.5217017858800375e-06,0.9968224533017858
0.002129674,0.0029788315,0.99559146,DB00470,DB00163,9.388753015960034e-06,0.9934711747530159
0.00041505694,0.0016086698,0.9998621,DB00512,DB00163,5.723635202601001e-08,0.999447100296352
0.0029401183,0.00012212992,0.9989709,DB00519,DB00163,3.0256757425300148e-06,0.9960338073757425
0.0028562844,0.0002169609,0.99993145,DB00523,DB00163,1.9579829561984302e-07,0.9970753613982957
0.0013555884,0.01084584,0.99550986,DB00524,DB00163,6.086781698376042e-06,0.9941603583816983
7.984042e-05,0.00012865663,0.99965686,DB00528,DB00163,2.739644171880156e-08,0.9995770469764417
0.0020892024,0.00089123845,0.9964237,DB00531,DB00163,7.471614543119952e-06,0.9943419692145432
0.00051561,0.00015872717,0.9992992,DB00539,DB00163,3.6133948799997213e-07,0.998783951339488
0.0063170195,0.00016823411,0.99985164,DB00542,DB00163,9.371930130197379e-07,0.993535557693013
0.0002911687,0.000107467175,0.9993951,DB00543,DB00163,1.761279466300056e-07,0.9991041074279466
0.0007919073,3.4183264e-05,0.998899,DB00547,DB00163,8.718899373000147e-07,0.9981079645899372
0.0021162927,0.0045791864,0.9941696,DB00550,DB00163,1.2338832958080028e-05,0.992065646132958
0.0015372038,1.7613173e-05,0.9998396,DB00555,DB00163,2.4656748951992234e-07,0.9983026427674896
1.1593103e-05,5.0991774e-05,0.99994624,DB00556,DB00163,6.232452172801599e-10,0.9999346475202452
0.00013896823,0.00017097592,0.9962294,DB00557,DB00163,5.239936080379941e-07,0.9960909557636081
0.00087472796,1.9699335e-05,0.9989841,DB00575,DB00163,8.886361345639637e-07,0.9981102606761346
0.0022672713,0.0024018884,0.9989265,DB00590,DB00163,2.4339157405498853e-06,0.9966616626157405
0.0007827282,6.6548586e-05,0.99964243,DB00591,DB00163,2.798801224740229e-07,0.9988599816801225
0.003950298,4.9978495e-05,0.99918294,DB00599,DB00163,3.227630483880142e-06,0.9952358696304838
0.0031954646,5.930662e-06,0.99983025,DB00601,DB00163,5.424301158498995e-07,0.9966353278301159
0.0009146333,0.0027559996,0.995469,DB00621,DB00163,4.144203482299956e-06,0.9945585109034824
0.00024852157,0.000116318464,0.9988688,DB00630,DB00163,2.811275999839997e-07,0.9986205595576
0.0003658235,0.010524124,0.9957025,DB00631,DB00163,1.5721264912499832e-06,0.9953382486264912
0.0007687807,0.0013361275,0.9977472,DB00633,DB00163,1.731909160960042e-06,0.996980151209161
0.0023665428,0.0062876344,0.9929522,DB00647,DB00163,1.6678920345840115e-05,0.9906023361203458
0.000359416,0.00045731664,0.9997167,DB00654,DB00163,1.0182255279999509e-07,0.9993573858225528
0.005151123,0.00030049682,0.9991971,DB00695,DB00163,4.135836656700261e-06,0.9940501128366567
0.00049996376,0.00020867586,0.9999627,DB00697,DB00163,1.8648648248008935e-08,0.9994627548886482
0.00040861964,2.5689602e-05,0.9999391,DB00708,DB00163,2.488493607601241e-08,0.999530505244936
0.0012847781,7.4356794e-05,0.99989593,DB00709,DB00163,1.3370685686701496e-07,0.9986112856068569
0.00010308623,5.3346157e-05,0.9999568,DB00710,DB00163,4.453325136002165e-09,0.9998537182233251
7.9125166e-05,0.00021356344,0.9998801,DB00727,DB00163,9.487107403396091e-09,0.9998009843211075
0.005217701,1.0967255e-05,0.9998532,DB00732,DB00163,7.65958506800013e-07,0.9946362649585069
6.189942e-05,0.00014281273,0.99750185,DB00737,DB00163,1.5463403607299857e-07,0.997440105214036
0.0014235377,6.556511e-07,0.99988234,DB00742,DB00163,1.6749344578202762e-07,0.9984589697934457
0.00022947788,1.54078e-05,0.9971583,DB00747,DB00163,6.521072915959878e-07,0.9969294742272916
9.5665455e-06,0.00077444315,0.99342793,DB00753,DB00163,6.287200668418539e-08,0.9934184263265067
0.00027376413,7.349253e-05,0.9929744,DB00757,DB00163,1.9233572717279903e-06,0.9927025592272718
0.0005927384,4.23491e-05,0.9996644,DB00796,DB00163,1.9892300703999495e-07,0.9990718605230071
0.0020985007,0.00020483136,0.99983144,DB00802,DB00163,3.53723277991967e-07,0.9977332930232781
0.0034820437,0.00083369017,0.99512464,DB00808,DB00163,1.6976216573231982e-05,0.9916595725165732
0.0017278194,0.0012903512,0.9985057,DB00809,DB00163,2.581880529419911e-06,0.9967804624805294
0.0051963925,0.0029316843,0.99940705,DB00820,DB00163,3.08120093287519e-06,0.9942137387009328
0.00036278367,0.0015718639,0.99198914,DB00831,DB00163,2.906209190656183e-06,0.9916292625391907
0.0025123954,0.0015647113,0.9967222,DB00852,DB00163,8.235129642119993e-06,0.9942180397296421
3.7014484e-05,0.0011622906,0.9986185,DB00862,DB00163,5.113550964600131e-08,0.9985815366515096
0.00012511015,0.00027677417,0.998055,DB00869,DB00163,2.433392417499968e-07,0.9979301331892417
0.00038665533,9.655952e-06,0.9998454,DB00882,DB00163,5.977691401800183e-08,0.9994588044469139
4.3660402e-05,6.6280365e-05,0.99943876,DB00883,DB00163,2.45039640184808e-08,0.999395124101964
8.72612e-05,0.0019136369,0.99724317,DB00884,DB00163,2.405642939960038e-07,0.997156149364294
8.878112e-05,0.00062048435,0.99234974,DB00889,DB00163,6.791986510912017e-07,0.9922616380786511
7.5101852e-06,0.0003825426,0.99715674,DB00906,DB00163,2.1353409171752107e-08,0.9971492511682092
3.683567e-05,0.0011278391,0.99179775,DB00909,DB00163,3.021353742574988e-07,0.9917612164653743
0.00020298362,0.00290972,0.9956579,DB00921,DB00163,8.813751764020031e-07,0.9954557977551763
0.0012651682,6.312132e-05,0.9993391,DB00935,DB00163,8.361496633799548e-07,0.9980747679496634
2.3633242e-05,0.00016918778,0.99951684,DB00966,DB00163,1.1418637204720898e-08,0.9994932181766372
1.218915e-05,5.5611134e-05,0.99917233,DB00985,DB00163,1.0088593780499354e-08,0.9991601509385938
0.003668338,1.79708e-05,0.9998784,DB01013,DB00163,4.4606990080020174e-07,0.9962105080699007
0.00064334273,0.0004607141,0.9968954,DB01018,DB00163,1.9973218395580084e-06,0.9962540545918396
0.0002953112,0.00041043758,0.9999074,DB01020,DB00163,2.734581711999948e-08,0.9996121161458171
0.0011137426,0.0026699603,0.99692416,DB01030,DB00163,3.425694038784058e-06,0.9958138430940388
0.0004158616,0.0009574294,0.9964656,DB01047,DB00163,1.4698212390400201e-06,0.996051208221239
0.00057297945,6.0230494e-05,0.999858,DB01054,DB00163,8.136308189998594e-08,0.999285101913082
0.0008060038,0.00020161271,0.99507326,DB01069,DB00163,3.970971161612033e-06,0.9942712271711616
0.0001578033,0.0007465482,0.9983008,DB01071,DB00163,2.6813936736000186e-07,0.9981432648393673
0.0014190376,0.0007612705,0.9997971,DB01081,DB00163,2.879227290400083e-07,0.998378350322729
2.6524067e-05,5.990267e-06,0.9987054,DB01100,DB00163,3.433805713820092e-08,0.9986789102710572
0.00014564395,0.00017026067,0.9903886,DB01114,DB00163,1.399842261030007e-06,0.9902443558922609
0.00052163005,0.0055359304,0.99185765,DB01143,DB00163,4.247294437617482e-06,0.9913402672444376
0.0017553568,0.0020294487,0.9934335,DB01155,DB00163,1.1526550427200055e-05,0.9916896697504272
0.0017941892,0.0003221035,0.9999049,DB01182,DB00163,1.7062739292002623e-07,0.9981108814273929
0.0041609704,0.04350269,0.9971076,DB01183,DB00163,1.2035190784960071e-05,0.992958664790785
0.0053063035,0.0004632473,0.9993829,DB01184,DB00163,3.2745198898501964e-06,0.9940798710198897
0.0022324324,0.00037041306,0.99987996,DB01192,DB00163,2.6798118529597306e-07,0.9976477955811852
0.0040997565,0.0006328821,0.99851304,DB01193,DB00163,6.096173925240153e-06,0.9944193796739251
5.7816505e-05,0.0016507804,0.99386793,DB01198,DB00163,3.545348558153526e-07,0.9938104680298557
0.0010457635,7.31349e-05,0.9996828,DB01202,DB00163,3.317161822000183e-07,0.9986373682161822
0.0015806556,0.0021399856,0.99956024,DB01235,DB00163,6.951091066560178e-07,0.9979802795091066
7.131696e-05,7.7188015e-06,0.9995768,DB01239,DB00163,3.018133747199693e-08,0.9995055132213375
0.00028786063,3.129244e-05,0.99986863,DB01244,DB00163,3.781625096308964e-08,0.999580807186251
0.007801473,5.6028366e-06,0.9994192,DB01267,DB00163,4.531095518400374e-06,0.9916222580955183
0.002592802,0.00012040138,0.9957253,DB01275,DB00163,1.1083450709399908e-05,0.9931435814507095
0.006929785,0.00035241246,0.99981457,DB01452,DB00163,1.2849900325502907e-06,0.9928860699900326
0.002264738,0.00011783838,0.99988854,DB01551,DB00163,2.5242769747989165e-07,0.9976240544276975
0.00035840273,9.787083e-05,0.99273473,DB01588,DB00163,2.6038926021870967e-06,0.9923789311626022
0.0010160804,1.6093254e-06,0.99998826,DB01589,DB00163,1.1928783896038441e-08,0.9989721915287838
0.006342262,2.5808811e-05,0.99961185,DB01590,DB00163,2.4617489953002e-06,0.9932720497489953
0.00010898709,1.6361475e-05,0.9985217,DB01608,DB00163,1.6111561514700474e-07,0.9984128740256152
0.00015670061,1.0222197e-05,0.9994234,DB01623,DB00163,9.035357172600598e-08,0.9992667897435717
0.003495127,4.556775e-05,0.99976015,DB01708,DB00163,8.383062109501448e-07,0.996265861306211
0.008689702,3.170967e-05,0.9995777,DB02665,DB00163,3.6696611545998837e-06,0.9908916676611547
0.002624929,0.0030385852,0.9984275,DB04339,DB00163,4.127700852499939e-06,0.9958066987008525
5.6028366e-06,0.00055652857,0.99949086,DB04540,DB00163,2.8526282265241065e-09,0.9994852600160282
0.0016827583,2.8908253e-06,0.9998922,DB04844,DB00163,1.8140134473998524e-07,0.9982096231013448
0.0002720058,3.620982e-05,0.99844253,DB05271,DB00163,4.2364087332598634e-07,0.9981709478408733
0.00094231963,2.1457672e-06,0.9999168,DB06288,DB00163,7.840099321595287e-08,0.9989745587709933
8.8214874e-05,2.977252e-05,0.99754393,DB06694,DB00163,2.1666190558518286e-07,0.9974559317879056
0.00226748,9.9003315e-05,0.99947405,DB06701,DB00163,1.1925811059999937e-06,0.997207762581106
0.00281021,0.0002696216,0.9968511,DB06710,DB00163,8.849070269000028e-06,0.994049739070269
0.00020778179,4.735589e-05,0.99538565,DB06712,DB00163,9.587779026864977e-07,0.9951788269879027
