0,1,2,3
0,DB00115,DB00446,-1
3,DB00136,DB00180,-1
4,DB00136,DB00324,-1
5,DB00136,DB00393,-1
6,DB00136,DB00394,-1
7,DB00136,DB00547,-1
8,DB00136,DB00591,-1
9,DB00136,DB00607,-1
10,DB00136,DB00648,-1
11,DB00136,DB00658,-1
12,DB00136,DB00687,-1
13,DB00136,DB00745,-1
14,DB00136,DB01013,-1
15,DB00136,DB01047,-1
16,DB00136,DB01238,-1
17,DB00136,DB01377,1
18,DB00136,DB01380,-1
25,DB00153,DB00745,-1
26,DB00153,DB02703,1
27,DB00158,DB00184,-1
28,DB00158,DB00210,-1
31,DB00158,DB00465,-1
32,DB00158,DB00533,-1
33,DB00158,DB00580,-1
34,DB00158,DB00605,-1
35,DB00158,DB00712,-1
36,DB00158,DB00744,-1
37,DB00158,DB00749,-1
38,DB00158,DB00784,-1
39,DB00158,DB00795,-1
40,DB00158,DB00822,-1
41,DB00158,DB00861,-1
42,DB00158,DB00991,-1
43,DB00158,DB01009,-1
44,DB00158,DB01014,-1
45,DB00158,DB01024,-1
46,DB00158,DB01250,-1
47,DB00158,DB01399,-1
48,DB00158,DB01600,-1
49,DB00158,DB01628,-1
50,DB00158,DB04743,-1
51,DB00158,DB04817,-1
52,DB00158,DB06802,-1
53,DB00158,DB07615,-1
54,DB00162,DB00531,1
55,DB00162,DB01083,-1
58,DB00163,DB00261,1
59,DB00163,DB00278,1
60,DB00163,DB00751,1
63,DB00163,DB00775,1
64,DB00163,DB00806,1
65,DB00163,DB01083,-1
66,DB00163,DB01166,1
67,DB00163,DB01236,1
70,DB00163,DB05266,1
71,DB00163,DB07615,1
72,DB00165,DB00599,1
73,DB00165,DB01235,-1
74,DB00177,DB00178,1
75,DB00177,DB00184,-1
76,DB00177,DB00197,-1
77,DB00177,DB00210,1
78,DB00177,DB00214,1
79,DB00177,DB00216,-1
82,DB00177,DB00275,1
85,DB00177,DB00313,-1
86,DB00177,DB00327,-1
87,DB00177,DB00338,-1
90,DB00177,DB00363,-1
91,DB00177,DB00373,1
92,DB00177,DB00374,-1
93,DB00177,DB00381,1
94,DB00177,DB00384,1
95,DB00177,DB00393,1
96,DB00177,DB00401,1
97,DB00177,DB00402,-1
98,DB00177,DB00421,1
99,DB00177,DB00422,-1
100,DB00177,DB00425,-1
101,DB00177,DB00436,1
102,DB00177,DB00455,-1
103,DB00177,DB00461,1
104,DB00177,DB00465,1
105,DB00177,DB00470,1
106,DB00177,DB00471,-1
107,DB00177,DB00489,1
110,DB00177,DB00519,1
111,DB00177,DB00521,1
112,DB00177,DB00524,1
113,DB00177,DB00528,1
114,DB00177,DB00531,-1
115,DB00177,DB00533,-1
116,DB00177,DB00542,1
117,DB00177,DB00549,-1
118,DB00177,DB00568,-1
119,DB00177,DB00575,1
120,DB00177,DB00580,-1
121,DB00177,DB00590,1
122,DB00177,DB00599,1
123,DB00177,DB00604,-1
124,DB00177,DB00605,1
125,DB00177,DB00612,1
