pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,degNot Given,inhTRUE,inhFALSE,inhNot Given
0.99995923,5.85E-05,9.30E-07,DB00717,DB00736,0.9999583,3.79E-11,0,0,0,0,0,0
0.9999527,0.000484115,1.24E-05,DB01083,DB01223,0.999940301,5.87E-10,0,0,0,0,0,0
0.9999802,0.000695447,5.50E-05,DB00379,DB00549,0.999925201,1.09E-09,0,0,0,0,0,0
0.9999294,0.000114351,6.82E-06,DB00736,DB04574,0.99992258,4.81E-10,0,0,0,0,0,0
0.9999443,0.000885898,2.23E-05,DB00379,DB01029,0.999922001,1.24E-09,0,0,0,0,0,0
0.9999107,0.016675256,9.89E-07,DB00451,DB00717,0.999909711,8.83E-11,0,0,0,0,0,0
0.9999031,0.004339181,1.33E-05,DB01083,DB01129,0.999889801,1.29E-09,0,0,0,0,0,0
0.9999218,0.004458149,3.35E-05,DB00745,DB01083,0.999888303,2.62E-09,0,0,0,0,0,0
0.99987113,7.45E-05,7.76E-08,DB00745,DB00917,0.999871052,1.00E-11,0,0,0,0,0,0
0.9998622,0.002149396,2.35E-05,DB01083,DB06698,0.999838703,3.24E-09,0,0,0,0,0,0
0.9998568,6.48E-05,3.66E-05,DB00736,DB01184,0.999820205,5.24E-09,0,0,0,0,0,0
0.99985623,6.96E-05,5.74E-05,DB00273,DB00648,0.999798838,8.25E-09,0,0,0,0,0,0
0.99991465,0.003942369,0.00012094,DB00277,DB01181,0.99979372,1.03E-08,0,0,0,0,0,0
0.9998411,0.060157415,4.97E-05,DB00607,DB01083,0.999791408,7.90E-09,0,0,0,0,0,0
0.99992347,0.000127761,0.000138452,DB00402,DB00736,0.999785029,1.06E-08,0,0,0,0,0,0
0.9997942,0.00086754,3.84E-05,DB00648,DB00927,0.999755808,7.90E-09,0,0,0,0,0,0
0.9997086,0.000815761,3.49E-06,DB00277,DB00717,0.999705111,1.02E-09,0,0,0,0,0,0
0.9999964,6.69E-05,0.000309792,DB00177,DB00745,0.999686609,1.12E-09,0,0,0,0,0,0
0.9999703,8.96E-05,0.000309073,DB00273,DB00745,0.999661236,9.18E-09,0,0,0,0,0,0
0.99984944,0.001033646,0.000194066,DB00153,DB00277,0.999655403,2.92E-08,0,0,0,0,0,0
0.9996588,0.007222927,1.75E-05,DB00745,DB01021,0.999641306,5.97E-09,0,0,0,0,0,0
0.99993646,0.015591235,0.000301136,DB00822,DB01083,0.999635343,1.91E-08,0,0,0,0,0,0
0.99972254,0.005101214,9.31E-05,DB00184,DB04574,0.999629466,2.58E-08,0,0,0,0,0,0
0.9998729,0.00067413,0.000248135,DB00214,DB00745,0.999624797,3.15E-08,0,0,0,0,0,0
0.9998605,0.014055518,0.000238888,DB00379,DB01132,0.999621645,3.33E-08,0,0,0,0,0,0
0.9998716,0.001191323,0.000301469,DB00277,DB01259,0.99957017,3.87E-08,0,0,0,0,0,0
0.9997657,0.00048259,0.000208749,DB00153,DB00736,0.999557,4.89E-08,0,0,0,0,0,0
0.9995677,0.054337073,4.50E-05,DB00446,DB01083,0.999522719,1.95E-08,0,0,0,0,0,0
0.9997454,0.0231043,0.000259438,DB00184,DB01083,0.999486028,6.61E-08,0,0,0,0,0,0
0.9999994,1.06E-05,0.000516967,DB00745,DB01029,0.999482433,3.10E-10,0,0,0,0,0,0
0.99954647,0.021297272,7.79E-05,DB00379,DB00446,0.999468605,3.53E-08,0,0,0,0,0,0
0.9995018,0.005024732,4.26E-05,DB00367,DB00736,0.999459221,2.12E-08,0,0,0,0,0,0
0.99980253,0.006568433,0.000355434,DB00277,DB01083,0.999447166,7.02E-08,0,0,0,0,0,0
0.9995184,0.001217653,7.44E-05,DB00745,DB06698,0.999444036,3.58E-08,0,0,0,0,0,0
0.9994671,0.000880215,5.60E-05,DB00745,DB01048,0.99941113,2.98E-08,0,0,0,0,0,0
0.9994148,0.008388772,4.18E-06,DB00745,DB01205,0.999410622,2.45E-09,0,0,0,0,0,0
0.99946696,0.00108879,5.66E-05,DB00277,DB01256,0.99941039,3.02E-08,0,0,0,0,0,0
0.99971145,0.006314302,0.000312952,DB00648,DB01083,0.999398588,9.03E-08,0,0,0,0,0,0
