0,1,T,F,N,,,
DB00115,DB00451,,,1,,,
DB00130,DB00451,,,1,,,
DB00162,DB00451,,,1,,,
DB00197,DB00451,1,,,,,
DB00198,DB00451,,,1,,,
DB00213,DB00451,1,,,,,
DB00214,DB00451,1,,,,,
DB00229,DB00451,,,1,,,
DB00231,DB00451,,,1,,,
DB00273,DB00451,,1,,,,
DB00165,DB00451,,,1,,,
DB00184,DB00451,1,,,,,
DB00190,DB00451,,,1,,,
DB00284,DB00451,1,,,,,
DB00294,DB00451,,,1,,,
DB00279,DB00451,,,1,,,
DB00304,DB00451,,1,,,,
DB00310,DB00451,,,1,,,
DB00319,DB00451,,,1,,,
DB00323,DB00451,,,1,,,
DB00324,DB00451,,,1,,,
DB00327,DB00451,,,1,,,
DB00331,DB00451,1,,,,,
DB00332,DB00451,,,1,,,
DB00338,DB00451,1,,,,,
DB00153,DB00451,,,1,,,
DB00158,DB00451,,,1,,,
DB00158,DB00379,,,1,,,
DB00162,DB00379,,,1,,,
DB00165,DB00379,,,1,,,
DB00197,DB00379,,1,,,,
DB00277,DB00798,,,1,,,
DB00277,DB01586,,,1,,,
DB00279,DB00379,,,1,,,
DB00279,DB00640,,,1,,,
DB00279,DB00798,1,,,,,
DB00301,DB00379,,,1,,,
DB00301,DB00640,,,1,,,
DB00301,DB01586,1,,,,,
DB00304,DB00379,,,1,,,
DB00319,DB00379,,,1,,,
DB00338,DB00798,,,,,,
DB00339,DB00451,,,,,,
DB00364,DB00379,,,1,,,
DB00364,DB01129,,,,,,
DB00367,DB00379,,,1,,,
DB00375,DB00422,,,,,,
DB00379,DB00417,,,1,,,
DB00379,DB00438,,,1,,,
DB00379,DB00445,,,1,,,
DB00379,DB00451,,,1,,,
DB00379,DB00491,,,1,,,
DB00379,DB00521,,1,,,,
DB00379,DB00627,1,,,,,
DB00379,DB00640,,1,,,,
DB00379,DB00699,1,,,,,
DB00379,DB00736,,,1,,,
DB00379,DB00798,,,1,,,
DB00379,DB00900,,,1,,,
DB00379,DB00983,1,,,,,
DB00379,DB01082,,,1,,,
DB00379,DB01083,,,1,,,
DB00379,DB01095,,1,,,,
DB00379,DB01112,,,1,,,
DB00379,DB01129,,1,,,,0.65
DB00379,DB01147,,,1,,,
DB00379,DB01177,1,,,,,
DB00379,DB01205,,,1,,,
DB00379,DB01252,,,,,,
DB00379,DB01331,,,,,,
DB00379,DB01454,,,,,,
DB00379,DB01559,,,,,,
DB00379,DB01586,,,,,,
DB00379,DB01592,,,,,,
DB00379,DB04876,,,,,,
DB00379,DB04878,,,,,,
DB00379,DB06698,,,,,,
DB00438,DB00451,,,,,,
DB00442,DB00451,,,,,,
DB00445,DB00451,,,,,,
DB00446,DB00451,,,,,,
DB00446,DB00798,,,,,,
DB00451,DB00471,,,,,,
DB00451,DB00475,,,,,,
DB00451,DB00479,,,,,,
DB00451,DB00485,,,,,,
DB00451,DB00489,,,,,,
DB00451,DB00491,,,,,,
DB00451,DB00533,,,,,,
DB00451,DB00548,,,,,,
DB00451,DB00549,,,,,,
DB00451,DB00627,,,,,,
DB00451,DB00640,,,,,,
DB00451,DB00649,,,,,,
DB00451,DB00717,,,,,,
DB00451,DB00718,,,,,,
DB00451,DB00724,,,,,,
DB00451,DB00736,,,,,,
DB00451,DB00740,,,,,,
DB00451,DB00744,,,,,,
DB00451,DB00755,,,,,,
DB00451,DB00770,,,,,,
DB00451,DB00784,,,,,,
DB00451,DB00795,,,,,,
DB00451,DB00798,,,,,,
DB00451,DB00799,,,,,,
DB00451,DB00808,,,,,,
DB00451,DB00810,,,,,,
DB00451,DB00811,,,,,,
DB00451,DB00813,,,,,,
DB00451,DB00887,,,,,,
DB00451,DB00900,,,,,,
DB00451,DB00917,,,,,,
DB00451,DB00943,,,,,,
DB00451,DB00983,,,,,,
DB00451,DB00990,,,,,,
DB00451,DB00993,,,,,,
DB00451,DB00998,,,,,,
DB00451,DB00999,,,,,,
DB00451,DB01001,,,,,,
DB00451,DB01006,,,,,,
DB00451,DB01046,,,,,,
DB00451,DB01060,,,,,,
DB00451,DB01082,,,,,,
DB00451,DB01095,,,,,,
DB00451,DB01105,,,,,,
DB00451,DB01112,,,,,,
DB00451,DB01129,,,,,,
DB00451,DB01147,,,,,,
DB00451,DB01156,,,,,,
DB00451,DB01165,,,,,,
DB00451,DB01166,,,,,,
DB00451,DB01172,,,,,,
DB00451,DB01177,,,,,,
DB00451,DB01280,,,,,,
DB00451,DB01400,,,,,,
DB00451,DB01406,,,,,,
DB00451,DB01407,,,,,,
DB00451,DB01427,,,,,,
DB00451,DB01436,,,,,,
DB00451,DB01454,,,,,,
DB00451,DB01559,,,,,,
DB00451,DB01586,,,,,,
DB00451,DB01607,,,,,,
DB00451,DB01620,,,,,,
DB00451,DB04876,,,,,,
DB00451,DB04878,,,,,,
DB00451,DB05109,,,,,,
DB00451,DB05265,,,,,,
DB00451,DB06698,,,,,,
DB00451,DB06802,,,,,,
DB00451,DB08801,,,,,,
DB00640,DB00736,,,,,,
DB00640,DB00798,,,,,,
DB00648,DB00798,,,,,,
DB00736,DB00798,,,,,,
DB00798,DB01223,,,,,,
DB00798,DB01454,,,,,,
DB00798,DB01586,,,,,,
DB01083,DB06148,,,,,,
DB01129,DB01586,,,,,,
DB01223,DB01586,,,,,,
