pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,,inhTRUE,inhFALSE,,Not Given,sum
3.20E-12,4.34E-11,0.9999982,DB01182,DB00389,5.76E-18,0.9999982,0,0,,0,0,,1,1
4.13E-08,1.43E-09,0.99999774,DB01182,DB00178,9.33E-14,0.999997699,0,0,,1,0,,0,1
2.14E-08,2.75E-09,0.99999666,DB01182,DB00623,7.15E-14,0.999996639,0,0,,1,0,,0,1
5.53E-11,4.49E-13,0.9999962,DB02703,DB00557,2.10E-16,0.9999962,0,0,,0,1,,0,1
2.78E-09,6.24E-10,0.99999595,DB01182,DB00528,1.13E-14,0.999995947,0,0,,1,0,,0,1
4.19E-10,3.47E-13,0.99999547,DB02703,DB00915,1.90E-15,0.99999547,0,0,,0,1,,0,1
2.04E-09,5.75E-09,0.9999919,DB01182,DB00241,1.65E-14,0.999991898,0,0,,0,1,,0,1
2.07E-08,3.81E-11,0.9999912,DB02703,DB00413,1.82E-13,0.999991179,0,0,,0,0,,0,0
1.27E-10,1.98E-09,0.99999106,DB01182,DB00601,1.14E-15,0.99999106,0,0,,1,0,,0,1
2.47E-09,1.07E-12,0.9999901,DB02703,DB00450,2.45E-14,0.999990098,0,0,,0,0,,0,0
2.00E-07,2.30E-09,0.9999896,DB01182,DB00802,2.08E-12,0.9999894,0,0,,1,0,,0,1
3.39E-10,2.41E-09,0.9999894,DB01182,DB00961,3.59E-15,0.9999894,0,0,,1,,,0,1
1.85E-08,3.24E-09,0.9999894,DB01182,DB00381,1.96E-13,0.999989382,0,0,,1,0,,0,1
5.48E-07,6.90E-09,0.9999896,DB01182,DB00524,5.70E-12,0.999989052,0,0,,0,1,,0,1
2.95E-08,1.29E-09,0.99998724,DB01182,DB00935,3.76E-13,0.999987211,0,0,,0,0,,0,0
1.30E-08,1.31E-07,0.9999865,DB01182,DB00292,1.75E-13,0.999986487,0,0,,0,0,,0,0
1.16E-07,4.44E-08,0.999985,DB01182,DB00687,1.74E-12,0.999984884,0,0,,0,0,,0,0
8.87E-09,1.19E-07,0.99998355,DB01182,DB00909,1.46E-13,0.999983541,0,0,,0,0,,0,0
5.60E-08,2.49E-09,0.99998236,DB01182,DB00413,9.88E-13,0.999982304,0,0,,0,0,,0,0
1.20E-07,2.44E-07,0.999982,DB01182,DB00433,2.16E-12,0.99998188,0,0,,0,0,,0,0
2.21E-11,4.22E-13,0.9999815,DB02703,DB00389,4.09E-16,0.9999815,0,0,,0,0,,0,0
