0,1
DB00277,DB00324
DB00324,DB00277
DB00277,DB00373
DB00373,DB00277
DB00277,DB00393
DB00393,DB00277
DB00277,DB00481
DB00481,DB00277
DB00277,DB00818
DB00818,DB00277
DB00277,DB00829
DB00829,DB00277
DB00277,DB01399
DB01399,DB00648
DB00277,DB05109
DB05109,DB00277
DB00451,DB00177
DB00177,DB00451
DB00451,DB01120
DB01120,DB00648
DB00648,DB00210
DB00210,DB00648
DB00648,DB00373
DB00373,DB00277
DB00648,DB00435
DB00435,DB00745
DB00648,DB00491
DB00491,DB01095
DB00648,DB00605
DB00605,DB00648
DB00648,DB00607
DB00607,DB00648
DB00648,DB00749
DB00749,DB00648
DB00648,DB00795
DB00795,DB00648
DB00648,DB00960
DB00960,DB00745
DB00648,DB01009
DB01009,DB00648
DB00648,DB01014
DB01014,DB00648
DB00648,DB01065
DB01065,DB00648
DB00648,DB01120
DB01120,DB00648
DB00648,DB01165
DB01165,DB00648
DB00648,DB01240
DB01240,DB00648
DB00648,DB01296
DB01296,DB00648
DB00648,DB01399
DB01399,DB00648
DB00648,DB01600
DB01600,DB00648
DB00648,DB04743
DB04743,DB00648
DB00648,DB04817
DB04817,DB00648
DB00648,DB06802
DB06802,DB00648
DB00648,DB07615
DB07615,DB00648
DB00736,DB00549
DB00549,DB00738
DB00736,DB00869
DB00869,DB00736
DB00736,DB01198
DB01198,DB00736
DB00738,DB00549
DB00549,DB00738
DB00745,DB00384
DB00384,DB00745
DB00745,DB00435
DB00435,DB00745
DB00745,DB00749
DB00749,DB00648
DB00745,DB00960
DB00960,DB00745
DB00745,DB01007
DB01007,DB00745
DB00745,DB01009
DB01009,DB00648
DB00745,DB01141
DB01141,DB00745
DB00745,DB01165
DB01165,DB00648
DB00745,DB01240
DB01240,DB00648
DB00745,DB01399
DB01399,DB00648
DB00745,DB07615
DB07615,DB00648
DB01095,DB00213
DB00213,DB01095
DB01095,DB00297
DB00297,DB01095
DB01095,DB00918
DB00918,DB01095
DB01156,DB00393
DB00393,DB00277
DB01156,DB00491
DB00491,DB01095
DB01156,DB00604
DB00604,DB01156
DB01156,DB00829
DB00829,DB00277
DB01156,DB01165
DB01165,DB00648
DB01223,DB00384
DB00384,DB00745
