drug,dec,enh,status,decrease ( -1 ),increase (+1),def,absloute def,ratio of deg and enh,dose need resample,number of resmple,need more real,number of real 
DB00648,195,1,,,,-194,194,195,1,19,1,3
DB00745,206,3,,,,-203,203,68.66666667,1,18,1,1
DB00697,4,179,,,,175,175,44.75,1,14,0,0
DB04844,2,159,,,,157,157,79.5,1,14,1,2
DB00543,2,150,,,,148,148,75,1,13,1,2
DB00241,1,118,,,,117,117,118,1,11,1,3
DB00423,1,117,,,,116,116,117,1,11,1,3
DB00450,6,170,,,,164,164,28.33333333,1,11,0,0
DB00753,3,139,,,,136,136,46.33333333,1,11,1,1
DB00802,7,177,,,,170,170,25.28571429,1,11,0,0
DB00813,7,181,,,,174,174,25.85714286,1,11,0,0
DB00934,6,171,,,,165,165,28.5,1,11,0,0
DB01081,4,153,,,,149,149,38.25,1,11,0,0
DB01452,4,153,,,,149,149,38.25,1,11,0,0
DB00292,3,123,,,,120,120,41,1,10,1,1
DB00599,7,172,,,,165,165,24.57142857,1,10,0,0
DB00633,6,163,,,,157,157,27.16666667,1,10,0,0
DB00966,2,120,,,,118,118,60,1,10,1,2
DB01100,11,214,,,,203,203,19.45454545,1,10,0,0
DB01236,6,158,,,,152,152,26.33333333,1,10,0,0
DB01239,6,158,,,,152,152,26.33333333,1,10,0,0
DB00230,5,138,,,,133,133,27.6,1,9,0,0
DB00408,5,135,,,,130,130,27,1,9,0,0
DB00470,8,177,,,,169,169,22.125,1,9,0,0
DB00708,7,168,,1,,161,161,24,1,9,0,0
DB00961,4,125,,,,121,121,31.25,1,9,0,0
DB00996,4,132,,,,128,128,33,1,9,0,0
DB01080,3,117,,,,114,114,39,1,9,1,1
DB01219,3,118,,,,115,115,39.33333333,1,9,1,1
DB01235,7,162,,,,155,155,23.14285714,1,9,0,0
DB01563,3,118,,,,115,115,39.33333333,1,9,1,1
DB00181,4,120,,,,116,116,30,1,8,0,0
DB00275,1,95,,1,,94,94,95,1,8,1,2
DB00647,7,154,,,,147,147,22,1,8,0,0
DB00660,4,117,,,,113,113,29.25,1,8,0,0
DB00742,4,115,,,,111,111,28.75,1,8,0,0
DB00747,8,166,,,,158,158,20.75,1,8,0,0
DB00831,7,154,,,,147,147,22,1,8,0,0
DB01202,7,150,,,,143,143,21.42857143,1,8,0,0
DB02665,10,186,,,,176,176,18.6,1,8,0,0
DB00323,5,121,,,,116,116,24.2,1,7,0,0
DB00413,4,113,,,,109,109,28.25,1,7,0,0
DB00557,6,132,,,,126,126,22,1,7,0,0
DB00623,9,166,,,,157,157,18.44444444,1,7,0,0
DB00690,7,142,,,,135,135,20.28571429,1,7,0,0
DB00341,6,117,,,,111,111,19.5,1,6,0,0
DB00350,1,66,,,,65,65,66,1,6,1,3
DB00366,6,121,,,,115,115,20.16666667,1,6,0,0
DB00395,6,117,,,,111,111,19.5,1,6,0,0
DB00427,6,117,,,,111,111,19.5,1,6,0,0
DB00494,6,121,,,,115,115,20.16666667,1,6,0,0
DB00555,10,164,,,,154,154,16.4,1,6,0,0
DB00796,6,119,,,,113,113,19.83333333,1,6,0,0
DB00842,6,118,,,,112,112,19.66666667,1,6,0,0
DB00906,6,118,,,,112,112,19.66666667,1,6,0,0
DB00909,6,120,,,,114,114,20,1,6,0,0
DB00985,6,117,,,,111,111,19.5,1,6,0,0
DB01002,6,118,,,,112,112,19.66666667,1,6,0,0
DB01106,6,117,,,,111,111,19.5,1,6,0,0
DB01162,3,89,,,,86,86,29.66666667,1,6,1,1
DB01176,6,117,,,,111,111,19.5,1,6,0,0
DB01189,8,139,,,,131,131,17.375,1,6,0,0
DB01545,6,117,,,,111,111,19.5,1,6,0,0
DB01588,6,118,,,,112,112,19.66666667,1,6,0,0
DB01623,9,150,,,,141,141,16.66666667,1,6,0,0
DB06288,7,135,,,,128,128,19.28571429,1,6,0,0
DB00381,6,109,,,,103,103,18.16666667,1,5,0,0
DB00497,10,156,,,,146,146,15.6,1,5,0,0
DB00575,13,190,,,,177,177,14.61538462,1,5,0,0
DB00654,1,51,,,,50,50,51,1,5,0,0
DB00727,1,54,,,,53,53,54,1,5,0,0
DB00737,7,117,,,,110,110,16.71428571,1,5,0,0
DB00806,2,64,,,,62,62,32,1,5,0,0
DB00862,3,74,,,,71,71,24.66666667,1,5,0,0
DB00962,7,118,,,,111,111,16.85714286,1,5,0,0
DB01175,13,187,,,,174,174,14.38461538,1,5,0,0
DB01192,10,156,,,,146,146,15.6,1,5,0,0
DB01551,10,152,,,,142,142,15.2,1,5,0,0
DB01595,9,142,,,,133,133,15.77777778,1,5,0,0
DB00401,5,105,,1,,100,100,21,1,4,0,0
DB00434,8,119,,,,111,111,14.875,1,4,0,0
DB00475,8,118,,,,110,110,14.75,1,4,0,0
DB00601,2,60,,,,58,58,30,1,4,0,0
DB00717,48,1,,,,-47,47,48,1,4,0,0
DB00889,4,76,,,,72,72,19,1,4,0,0
DB00921,14,184,,,,170,170,13.14285714,1,4,0,0
DB01054,5,91,,,,86,86,18.2,1,4,0,0
DB01168,1,47,,,,46,46,47,1,4,0,0
DB01195,2,59,,,,57,57,29.5,1,4,0,0
DB01244,5,91,,,,86,86,18.2,1,4,0,0
DB05271,7,114,,,,107,107,16.28571429,1,4,0,0
DB00261,4,73,,,,69,69,18.25,1,3,0,0
DB00305,1,32,,,,31,31,32,1,3,0,0
DB00346,5,82,,,,77,77,16.4,1,3,0,0
DB00371,11,141,,,,130,130,12.81818182,1,3,0,0
DB00374,7,106,,,,99,99,15.14285714,1,3,0,0
DB00528,4,67,,,,63,63,16.75,1,3,0,0
DB00883,3,54,,,,51,51,18,1,3,0,0
DB00949,10,134,,,,124,124,13.4,1,3,0,0
DB01020,3,54,,,,51,51,18,1,3,0,0
DB01069,14,178,,,,164,164,12.71428571,1,3,0,0
DB01173,11,143,,,,132,132,13,1,3,0,0
DB01233,3,59,,,,56,56,19.66666667,1,3,0,0
DB06694,4,66,,,,62,62,16.5,1,3,0,0
DB00186,10,123,,,,113,113,12.3,1,2,0,0
DB00394,4,56,,,,52,52,14,1,2,0,0
DB00519,8,106,,,,98,98,13.25,1,2,0,0
