d1,d2,i
DB00115,DB00446,-1
DB00115,DB01394,-1
DB00130,DB00581,-1
DB00136,DB00180,-1
DB00136,DB00324,-1
DB00136,DB00393,-1
DB00136,DB00394,-1
DB00136,DB00547,-1
DB00136,DB00591,-1
DB00136,DB00607,-1
DB00136,DB00648,-1
DB00136,DB00658,-1
DB00136,DB00687,-1
DB00136,DB00745,-1
DB00136,DB01013,-1
DB00136,DB01047,-1
DB00136,DB01238,-1
DB00136,DB01377,1
DB00136,DB01380,-1
DB00136,DB01410,-1
DB00136,DB01708,-1
DB00136,DB02703,1
DB00136,DB06781,-1
DB00153,DB00607,-1
DB00153,DB00648,-1
DB00153,DB00745,-1
DB00153,DB02703,1
DB00158,DB00184,-1
DB00158,DB00210,-1
DB00158,DB00244,-1
DB00158,DB00461,-1
DB00158,DB00465,-1
DB00158,DB00533,-1
DB00158,DB00580,-1
DB00158,DB00605,-1
DB00158,DB00712,-1
DB00158,DB00744,-1
DB00158,DB00749,-1
DB00158,DB00784,-1
DB00158,DB00795,-1
DB00158,DB00822,-1
DB00158,DB00861,-1
DB00158,DB00991,-1
DB00158,DB01009,-1
DB00158,DB01014,-1
DB00158,DB01024,-1
DB00158,DB01250,-1
DB00158,DB01399,-1
DB00158,DB01600,-1
DB00158,DB01628,-1
DB00158,DB04743,-1
DB00158,DB04817,-1
DB00158,DB06802,-1
DB00158,DB07615,-1
DB00162,DB00531,1
DB00162,DB01083,-1
DB00162,DB01396,-1
DB00163,DB00235,1
DB00163,DB00261,1
DB00163,DB00278,1
DB00163,DB00751,1
DB00163,DB00758,1
DB00163,DB00770,1
DB00163,DB00775,1
DB00163,DB00806,1
DB00163,DB01083,-1
DB00163,DB01166,1
DB00163,DB01236,1
DB00163,DB01240,1
DB00163,DB04743,1
DB00163,DB05266,1
DB00163,DB07615,1
DB00165,DB00599,1
DB00165,DB01235,-1
DB00177,DB00178,1
DB00177,DB00184,-1
DB00177,DB00197,-1
DB00177,DB00210,1
DB00177,DB00214,1
DB00177,DB00216,-1
DB00177,DB00231,-1
DB00177,DB00244,1
DB00177,DB00275,1
DB00177,DB00277,-1
DB00177,DB00310,1
DB00177,DB00313,-1
DB00177,DB00327,-1
DB00177,DB00338,-1
DB00177,DB00346,1
DB00177,DB00350,1
DB00177,DB00363,-1
DB00177,DB00373,1
DB00177,DB00374,-1
DB00177,DB00381,1
DB00177,DB00384,1
DB00177,DB00393,1
DB00177,DB00401,1
DB00177,DB00402,-1
DB00177,DB00421,1
DB00177,DB00422,-1
DB00177,DB00425,-1
DB00177,DB00436,1
DB00177,DB00455,-1
DB00177,DB00461,1
DB00177,DB00465,1
DB00177,DB00470,1
DB00177,DB00471,-1
DB00177,DB00489,1
DB00177,DB00492,1
DB00177,DB00514,-1
DB00177,DB00519,1
DB00177,DB00521,1
DB00177,DB00524,1
DB00177,DB00528,1
DB00177,DB00531,-1
DB00177,DB00533,-1
DB00177,DB00542,1
DB00177,DB00549,-1
DB00177,DB00568,-1
DB00177,DB00575,1
DB00177,DB00580,-1
DB00177,DB00590,1
DB00177,DB00599,1
DB00177,DB00604,-1
DB00177,DB00605,1
DB00177,DB00612,1
DB00177,DB00624,-1
DB00177,DB00633,1
DB00177,DB00654,1
DB00177,DB00672,-1
DB00177,DB00695,1
DB00177,DB00697,1
DB00177,DB00700,1
DB00177,DB00712,-1
DB00177,DB00727,1
DB00177,DB00731,-1
DB00177,DB00742,1
DB00177,DB00744,-1
DB00177,DB00749,-1
DB00177,DB00755,-1
DB00177,DB00757,-1
DB00177,DB00758,-1
DB00177,DB00780,1
DB00177,DB00783,-1
DB00177,DB00784,-1
DB00177,DB00795,1
DB00177,DB00796,1
DB00177,DB00806,1
DB00177,DB00808,1
DB00177,DB00818,-1
DB00177,DB00819,1
DB00177,DB00820,1
DB00177,DB00829,-1
DB00177,DB00843,-1
DB00177,DB00850,-1
DB00177,DB00861,1
DB00177,DB00862,1
DB00177,DB00869,-1
DB00177,DB00880,1
DB00177,DB00883,1
DB00177,DB00887,1
DB00177,DB00921,-1
DB00177,DB00943,-1
DB00177,DB00960,1
DB00177,DB00966,1
DB00177,DB00968,1
DB00177,DB00969,-1
DB00177,DB00983,-1
DB00177,DB00988,-1
DB00177,DB00991,-1
DB00177,DB00999,1
DB00177,DB01009,-1
DB00177,DB01014,1
DB00177,DB01016,-1
DB00177,DB01018,1
DB00177,DB01020,1
DB00177,DB01021,1
DB00177,DB01024,1
DB00177,DB01029,1
DB00177,DB01036,-1
DB00177,DB01037,-1
DB00177,DB01041,-1
DB00177,DB01054,1
DB00177,DB01065,-1
DB00177,DB01067,-1
DB00177,DB01095,-1
DB00177,DB01120,-1
DB00177,DB01132,-1
DB00177,DB01143,1
DB00177,DB01156,-1
DB00177,DB01162,1
